City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_temp,Wind_speed
lebu,0,CL,1586207767,57,-37.62,-73.65,13.93,9.92
giovinazzo,0,IT,1586207934,81,41.19,16.67,10.56,2.6
busselton,0,AU,1586207934,39,-33.65,115.33,17.78,7.35
ushuaia,75,AR,1586207649,62,-54.8,-68.3,11.0,8.2
kapaa,20,US,1586207508,88,22.08,-159.32,25.56,4.6
nueve de julio,0,AR,1586207508,22,-35.44,-60.88,19.44,3.13
tazmalt,40,DZ,1586207508,82,36.39,4.4,13.0,2.1
hithadhoo,6,MV,1586207508,64,-0.6,73.08,28.71,1.69
east london,77,ZA,1586207509,61,-33.02,27.91,18.24,9.88
esperance,90,AU,1586207510,87,-33.87,121.9,16.0,4.1
mahajanga,20,MG,1586207510,88,-15.72,46.32,26.0,1.0
koumac,78,NC,1586207510,73,-20.57,164.28,25.36,5.01
rikitea,62,PF,1586207511,63,-23.12,-134.97,24.51,2.33
tecoanapa,8,MX,1586207226,45,16.52,-98.75,31.29,5.36
ternate,25,ID,1586207511,80,0.8,127.4,26.08,2.26
fortuna,20,US,1586207511,66,40.6,-124.16,15.0,7.2
qaanaaq,0,GL,1586207512,75,77.48,-69.36,-12.89,1.06
mahebourg,40,MU,1586207512,88,-20.41,57.7,25.56,5.1
vaini,90,TO,1586207512,74,-21.2,-175.2,26.0,4.1
punta arenas,100,CL,1586207321,58,-53.15,-70.92,13.0,8.7
hermanus,16,ZA,1586207328,70,-34.42,19.23,13.33,2.24
jamestown,1,US,1586207512,26,42.1,-79.24,15.0,2.6
karasburg,76,NA,1586207513,47,-28.02,18.75,12.2,5.86
albany,20,US,1586207513,18,42.6,-73.97,16.67,7.7
aklavik,75,CA,1586207513,90,68.22,-135.01,0.0,4.1
yellowknife,75,CA,1586207513,63,62.46,-114.35,-1.11,8.7
hobart,20,AU,1586207513,81,-42.88,147.33,7.0,3.1
bredasdorp,15,ZA,1586207513,54,-34.53,20.04,13.33,5.7
nyurba,99,RU,1586207513,94,63.28,118.33,-0.18,2.35
luau,100,AO,1586207514,68,-10.71,22.22,19.21,0.29
cabo san lucas,90,MX,1586207514,39,22.89,-109.91,28.0,2.1
athabasca,20,CA,1586207244,83,54.72,-113.29,-1.57,3.22
kaitangata,87,NZ,1586207514,92,-46.28,169.85,13.89,3.08
los llanos de aridane,90,ES,1586207363,83,28.66,-17.92,21.0,1.0
port hardy,75,CA,1586207239,70,50.7,-127.42,8.0,4.6
hay river,40,CA,1586207514,94,60.82,-115.8,0.0,5.7
dikson,97,RU,1586207514,95,73.51,80.55,-13.27,6.16
auki,100,SB,1586207515,79,-8.77,160.7,27.8,2.67
nikolskoye,94,RU,1586207515,86,59.7,30.79,2.22,2.0
champerico,40,GT,1586207238,55,14.3,-91.92,33.0,4.1
