City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_temp,Wind_speed
port elizabeth,92,ZA,1586650267,63,-33.92,25.57,62.6,5.82
sandwick,100,GB,1586650185,81,60.0,-1.25,46.4,27.51
new norfolk,40,AU,1586650004,58,-42.78,147.06,55.99,19.46
chokwe,0,MZ,1586650267,83,-24.53,32.98,67.57,4.47
muros,90,ES,1586650267,93,42.78,-9.06,55.0,4.7
lata,75,PT,1586650267,93,40.16,-8.33,57.0,3.36
lockhart,75,US,1586650267,69,28.62,-81.44,77.0,9.17
blythe,1,US,1586650267,40,33.61,-114.6,75.0,6.93
ribeira grande,0,PT,1586650267,73,38.52,-28.7,61.66,6.62
pangody,100,RU,1586650268,95,65.85,74.49,18.43,6.73
hermanus,100,ZA,1586650268,93,-34.42,19.23,63.0,18.01
kapaa,90,US,1586650025,69,22.08,-159.32,78.8,5.82
longyearbyen,20,SJ,1586650268,69,78.22,15.64,-7.6,5.82
coos bay,1,US,1586650268,71,43.37,-124.22,60.01,18.34
clyde river,20,CA,1586650268,84,70.47,-68.59,5.0,10.29
kodiak,90,US,1586650268,80,57.79,-152.41,41.0,20.8
yellowknife,75,CA,1586650010,52,62.46,-114.35,19.4,19.46
albany,20,US,1586650015,30,42.6,-73.97,46.0,12.75
belvedere marittimo,8,IT,1586650268,85,39.62,15.86,54.0,1.99
dikson,100,RU,1586650268,96,73.51,80.55,14.09,13.71
port alfred,80,ZA,1586650268,89,-33.59,26.89,64.0,4.0
bluff,82,NZ,1586650269,52,-46.6,168.33,68.0,5.01
hamilton,20,US,1586650269,59,39.18,-84.53,59.0,6.93
jamestown,1,US,1586650111,45,42.1,-79.24,45.0,8.05
ketchikan,1,US,1586650081,29,55.34,-131.65,51.8,14.99
aginskoye,0,RU,1586650269,30,51.1,114.53,51.76,3.53
thunder bay,75,CA,1586650269,28,48.4,-89.32,46.4,17.22
kruisfontein,95,ZA,1586650038,54,-34.0,24.73,61.36,5.97
nikolskoye,3,RU,1586650269,100,59.7,30.79,26.6,2.98
port hardy,20,CA,1586650269,32,50.7,-127.42,55.4,5.82
copiapo,20,CL,1586650269,72,-27.37,-70.33,62.6,8.05
punta arenas,75,CL,1586650025,70,-53.15,-70.92,44.6,6.93
esperance,40,AU,1586650269,56,-33.87,121.9,71.6,19.46
escanaba,1,US,1586650269,56,45.75,-87.06,53.01,14.99
sao joao da barra,99,BR,1586650270,90,-21.64,-41.05,71.76,16.22
vaini,20,TO,1586649989,65,-21.2,-175.2,82.4,5.82
chokurdakh,99,RU,1586650270,98,70.63,147.92,29.12,13.47
victoria,20,HK,1586650017,59,22.29,114.16,66.99,18.34
grindavik,75,IS,1586650270,81,63.84,-22.43,37.4,16.11
marzuq,2,YE,1586650164,50,14.4,46.47,71.35,3.74
mahebourg,75,MU,1586650270,83,-20.41,57.7,75.99,5.82
flinders,0,AU,1586650270,44,-34.58,150.86,66.99,11.41
cabo san lucas,40,MX,1586650203,56,22.89,-109.91,75.99,16.11
busselton,84,AU,1586650270,67,-33.65,115.33,72.0,9.33
battle creek,90,US,1586650270,37,42.32,-85.18,57.2,4.7
santiago do cacem,23,PT,1586650271,100,38.02,-8.69,55.99,3.36
saint-philippe,26,RE,1586650271,73,-21.36,55.77,73.4,4.7
oktyabrskiy,100,RU,1586650271,84,54.48,53.47,38.62,6.67
rikitea,62,PF,1586650016,75,-23.12,-134.97,78.12,5.64
barrow,90,US,1586650271,85,71.29,-156.79,24.8,14.99
jining,0,CN,1586650271,25,35.41,116.58,54.0,1.01
avarua,98,CK,1586650025,88,-21.21,-159.78,82.4,5.82
nanortalik,100,GL,1586650271,77,60.14,-45.24,36.54,33.8
bambous virieux,75,MU,1586650271,83,-20.34,57.76,75.99,5.82
ushuaia,40,AR,1586650271,75,-54.8,-68.3,41.0,23.04
airai,96,TL,1586650271,69,-8.93,125.41,65.73,1.97
rawson,0,AR,1586650271,38,-43.3,-65.1,55.98,5.35
zhezkazgan,87,KZ,1586650271,52,47.8,67.71,43.84,6.44
lhokseumawe,79,ID,1586650272,78,5.18,97.15,79.29,3.58
bandarbeyla,32,SO,1586650272,72,9.49,50.81,81.25,5.12
kaitangata,96,NZ,1586650272,83,-46.28,169.85,55.0,1.01
kuytun,59,RU,1586650272,76,54.34,101.5,31.87,5.23
castro,6,BR,1586650028,71,-24.79,-50.01,56.75,4.76
saint-pierre,20,RE,1586650272,73,-21.34,55.48,73.4,4.7
hilo,1,US,1586650272,65,19.73,-155.09,82.4,12.75
victor harbor,90,AU,1586650272,51,-35.57,138.62,60.01,9.17
hobyo,4,SO,1586650272,75,5.35,48.53,81.97,11.1
upernavik,100,GL,1586650272,88,72.79,-56.15,19.35,1.74
auki,91,SB,1586650106,67,-8.77,160.7,85.33,2.66
shieli,72,KZ,1586650272,60,44.17,66.75,59.18,5.93
